OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dichotomophthora	Dichotomophthora_lutea
OTU_34	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_36	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_35	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_33	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified
OTU_37	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_38	Fungi	Ascomycota	?	?	?	?	?
OTU_39	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_40	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_42	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU_41	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Zeloasperisporium	unidentified
OTU_43	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_45	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU_46	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Zeloasperisporium	unidentified
OTU_44	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	?	?
OTU_47	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia_collo-cygni
OTU_49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
OTU_48	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia_collo-cygni
OTU_50	Fungi	Ascomycota	Eurotiomycetes	Onygenales	?	?	?
OTU_51	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Libertasomyces	Libertasomyces_platani
OTU_54	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
OTU_52	Fungi	Ascomycota	Eurotiomycetes	Onygenales	?	?	?
OTU_55	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_57	Fungi	unidentified	unidentified	?	?	?	?
OTU_56	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_59	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_58	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_60	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	?
OTU_62	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_61	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula_himantioides
OTU_64	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	?
OTU_63	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula_himantioides
OTU_65	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_fraserae
OTU_66	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora
OTU_69	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium_hasegawianum
OTU_67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_metachromatica
OTU_68	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_70	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_metachromatica
OTU_71	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_fraserae
OTU_72	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_73	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_74	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_78	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_tshawytschae
OTU_75	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	unidentified
OTU_76	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unidentified
OTU_81	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina
OTU_79	Fungi	Ascomycota	?	?	?	?	?
OTU_80	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
